iter	Logloss
0	0.4239317001
1	0.2638447742
2	0.1724401104
3	0.1179290966
4	0.08392286498
5	0.06327693093
6	0.04951052897
7	0.0403078347
8	0.03359384605
9	0.02899412968
10	0.02603811956
11	0.02405615605
12	0.02198993157
13	0.02051094839
14	0.01932239483
15	0.018432674
16	0.01785320512
17	0.01721505715
18	0.01661267887
19	0.01615543903
20	0.0158856432
21	0.01564054128
22	0.01536761738
23	0.01512580354
24	0.01485119516
25	0.014612397
26	0.01439979639
27	0.01418935854
28	0.01396140488
29	0.0138166053
30	0.01364516551
31	0.01345838572
32	0.01336395824
33	0.01326866314
34	0.0132385516
35	0.01317770815
36	0.013067915
37	0.01292715408
38	0.01286088593
39	0.0127836734
40	0.0126815331
41	0.01259795159
42	0.01254591078
43	0.01252338753
44	0.01245127408
45	0.01239194065
46	0.01229929089
47	0.01222209084
48	0.01219776399
49	0.01212018834
50	0.01206990242
51	0.01200735148
52	0.01197047999
53	0.01193587224
54	0.01189705562
55	0.01187880895
56	0.0118532192
57	0.01175126386
58	0.01166339091
59	0.01164200247
60	0.01159597365
61	0.01156935508
62	0.01154359403
63	0.01152380484
64	0.01138394542
65	0.01136290829
66	0.0113395297
67	0.01132031363
68	0.01126658859
69	0.01122761677
70	0.01117857698
71	0.0111293185
72	0.0110925207
73	0.01107841108
74	0.01106128532
75	0.01103095574
76	0.01099705399
77	0.01098295824
78	0.01096356383
79	0.01093417877
80	0.0109121747
81	0.01087572954
82	0.01084170657
83	0.01081355721
84	0.01081355838
85	0.01077316906
86	0.01075450231
87	0.01074448313
88	0.01070258903
89	0.01070260332
90	0.01068413036
91	0.01066265027
92	0.01064253667
93	0.01062687208
94	0.01061325675
95	0.01061316261
96	0.01057134577
97	0.01057137515
98	0.0105565602
99	0.0105445477
100	0.01054452147
101	0.01050818313
102	0.01048675419
103	0.01045311994
104	0.01043830992
105	0.01037980134
106	0.01036999731
107	0.01036986737
108	0.010369893
109	0.01035733562
110	0.01032791603
111	0.01032786839
112	0.01031482779
113	0.01028486457
114	0.01023018509
115	0.01023019873
116	0.0102129602
117	0.01017996973
118	0.01017988349
119	0.0101613703
120	0.01012782216
121	0.01010836998
122	0.01007731429
123	0.01005614254
124	0.01003690673
125	0.01002308316
126	0.01002308316
127	0.01000426398
128	0.01000427841
129	0.01000426764
130	0.009994887164
131	0.009994888338
132	0.00997949943
133	0.009954445153
134	0.009936375733
135	0.009913137686
136	0.009900678894
137	0.009880687351
138	0.009880651203
139	0.009880602146
140	0.00988059602
141	0.009880591677
142	0.009880590291
143	0.009880567647
144	0.009814954941
145	0.009794626346
146	0.009794567154
147	0.009794568433
148	0.009794484319
149	0.009794501312
150	0.009794421115
151	0.009794421115
152	0.009794421115
153	0.009794423771
154	0.009794418435
155	0.009794406898
156	0.009794362456
157	0.009794359202
158	0.009794313175
159	0.009794315099
160	0.009794294448
161	0.009794335288
162	0.00979425707
163	0.009794258103
164	0.009794211517
165	0.009794250459
166	0.009794166114
167	0.009794189722
168	0.009794155939
169	0.009794147331
170	0.009794147331
171	0.009794010461
172	0.0097939759
173	0.009793983998
174	0.00979392462
175	0.009793934772
176	0.009793864349
177	0.009793841609
178	0.009793810641
179	0.009793813937
180	0.009793829816
181	0.009793845714
182	0.009793801638
183	0.00979380266
184	0.009793770701
185	0.009793769548
186	0.009793747983
187	0.009793720522
188	0.009793724504
189	0.009793728257
190	0.009793698544
191	0.009793735589
192	0.00979364667
193	0.009793675517
194	0.009793632293
195	0.009793615441
196	0.009793673561
197	0.009793563592
198	0.00979357889
199	0.009793570561
200	0.009793529833
201	0.009793515076
202	0.009793519919
203	0.009793519919
204	0.009793519919
205	0.009793489927
206	0.009793489927
207	0.009793477058
208	0.009793453525
209	0.009793376052
210	0.009793415623
211	0.009793369366
212	0.009793344307
213	0.009793336185
214	0.009793349973
215	0.009793311993
216	0.009793290283
217	0.009793301561
218	0.009793237591
219	0.009793237591
220	0.00979318065
221	0.009793166653
222	0.00979317337
223	0.009793152009
224	0.009793124323
225	0.009793076209
226	0.00979294673
227	0.00979294673
228	0.00979294673
229	0.009792946962
230	0.009792944222
231	0.009792967087
232	0.009792932436
233	0.009792928117
234	0.009792917779
235	0.009792920846
236	0.009792931621
237	0.009792940497
238	0.009792911941
239	0.009792869713
240	0.009792860956
241	0.009792899011
242	0.00979292985
243	0.009792860952
244	0.009792864218
245	0.009792849308
246	0.009792848193
247	0.009792809435
248	0.00979281696
249	0.009792776087
250	0.009792761844
251	0.009792783842
252	0.009792743591
253	0.009792755588
254	0.009792754842
255	0.00979269782
256	0.00979266186
257	0.009792583783
258	0.009792522888
259	0.009792567466
260	0.009792522298
261	0.009792442772
262	0.009792463941
263	0.009792427078
264	0.009792392722
265	0.009792352441
266	0.00979228961
267	0.009792262264
268	0.009792191658
269	0.009792167006
270	0.009792161772
271	0.009792131557
272	0.009792114956
273	0.009792068678
274	0.009792068544
275	0.009792123514
276	0.009792035582
277	0.009792024686
278	0.009791946909
279	0.009791930892
280	0.009791915916
281	0.009791899157
282	0.009791860471
283	0.009791815176
284	0.009791808948
285	0.009791776024
286	0.009791746609
287	0.009791741634
288	0.009791757663
289	0.009791762366
290	0.009791749198
291	0.009791701762
292	0.009791726425
293	0.009791663161
294	0.009791671554
295	0.009791676466
296	0.009791671511
297	0.009791636219
298	0.00979162835
299	0.00979161966
